Subject,Group,ProgYears,APIknow,Lab,Treatment,Task,Completeness,Time
S1,A,4,1,1,nce,T1,40,60
S1,A,4,1,2,ce,T2,30,60
S2,D,3,2,1,ce,T2,100,60
S2,D,3,2,2,nce,T1,100,30
S3,B,6,1.25,1,ce,T1,75,60
S3,B,6,1.25,2,nce,T2,50,60
S4,C,4,1.75,1,nce,T2,10,60
S4,C,4,1.75,2,ce,T1,80,60
S5,B,3,1.25,1,ce,T1,65,60
S5,B,3,1.25,2,nce,T2,40,55
S6,A,5,1,1,nce,T1,70,60
S6,A,5,1,2,ce,T2,80,60
S7,D,4,1.5,1,ce,T2,70,60
S7,D,4,1.5,2,nce,T1,40,60
S8,C,6,1.75,1,nce,T2,60,50
S8,C,6,1.75,2,ce,T1,100,35
S9,D,7,1.25,1,ce,T2,45,60
S9,D,7,1.25,2,nce,T1,60,60
S10,A,8,1.75,1,nce,T1,100,40
S10,A,8,1.75,2,ce,T2,100,55
S11,B,4,1,1,ce,T1,60,60
S11,B,4,1,2,nce,T2,5,60
S12,C,5,1.5,1,nce,T2,60,60
S12,C,5,1.5,2,ce,T1,75,55